ref_type,M1C9,M1C19,M1C3,M2C3,M3C3,M1C4,M2C4,M1C10,M1C16
R1,0,0,0,0,0,0,0,0,1
R2,0,0,1,1,1,0,0,2,1
R3,0,0,0,0,0,0,1,0,0
R4,0,0,1,1,1,1,0,0,0
R5,0,0,0,0,0,0,0,0,0
R6,0,0,0,0,0,0,0,0,0
R7,0,8,0,0,0,0,0,0,1
R8,3,0,0,0,0,0,0,0,0
