RefType,V 1-2,V 2-3,V 3-4,V 4-5
R1,1,0,0,0
R2,4,0,4,0
R3,1,0,2,0
R4,0,0,1,0
R5,1,0,1,1
R6,4,0,0,0
R7,15,0,0,0
R8,0,1,6,0
