ref_type,M1C15,M2C15,M3C15,M4C15,M5C15,M6C15,M7C15
R1,0,0,1,0,0,0,0
R2,0,0,0,1,1,1,1
R3,0,0,0,0,0,0,0
R4,1,0,0,0,0,0,0
R5,0,1,0,0,0,0,0
R6,0,0,0,0,0,0,0
R7,0,0,0,0,0,0,0
R8,0,0,0,0,0,0,0
